day,cola_300ml,cola_600ml,guazi,haipai_hainorim,haipiao_haibo,redbull,haixiangcuilan,luosifen_335g,qiaqia_oatmeal,spicy_chicken_noodle,TeLunSuMilk,wangzai_milk,xiangbage_honey_chicken_wings
2020/8/14,1.0,0.0,0.0,5.0,0.0,13.0,5.0,1.0,1.0,0.0,1.0,1.0,0.0
2020/8/15,1.0,0.0,0.0,0.0,0.0,12.0,7.0,0.0,0.0,1.0,5.0,3.0,0.0
2020/8/16,1.0,0.0,4.0,0.0,1.0,5.0,1.0,1.0,1.0,0.0,1.0,5.0,0.0
2020/8/17,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0
2020/8/18,3.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0
2020/8/19,5.0,0.0,0.0,2.0,1.0,6.0,5.0,0.0,0.0,0.0,0.0,3.0,0.0
2020/8/20,0.0,0.0,0.0,3.0,1.0,5.0,1.0,0.0,0.0,0.0,1.0,3.0,1.0
2020/8/21,0.0,5.0,0.0,5.0,0.0,15.0,3.0,0.0,0.0,0.0,1.0,6.0,0.0
2020/8/22,1.0,2.0,0.0,0.0,0.0,14.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2020/8/23,0.0,0.0,0.0,0.0,1.0,4.0,0.0,5.0,0.0,0.0,3.0,0.0,5.0
2020/8/24,0.0,0.0,0.0,1.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,5.0,0.0
2020/8/25,0.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
2020/8/26,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
2020/8/27,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,26.0
2020/8/28,2.0,0.0,0.0,1.0,0.0,15.0,1.0,0.0,0.0,0.0,1.0,7.0,0.0
2020/8/29,1.0,0.0,0.0,0.0,3.0,12.0,3.0,3.0,0.0,0.0,2.0,3.0,0.0
2020/8/30,2.0,0.0,1.0,3.0,1.0,4.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0
2020/8/31,0.0,1.0,0.0,2.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020/9/1,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
2020/9/2,4.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,1.0,0.0,2.0,0.0,0.0
2020/9/3,0.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2020/9/4,0.0,1.0,0.0,3.0,0.0,13.0,1.0,2.0,0.0,0.0,5.0,2.0,0.0
2020/9/5,2.0,3.0,0.0,0.0,0.0,10.0,2.0,0.0,0.0,1.0,5.0,5.0,1.0
2020/9/6,0.0,0.0,0.0,0.0,4.0,3.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0
2020/9/7,1.0,1.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,1.0,5.0,0.0
2020/9/8,0.0,2.0,1.0,0.0,0.0,6.0,0.0,2.0,0.0,0.0,5.0,7.0,0.0
2020/9/9,0.0,1.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0
2020/9/10,0.0,0.0,0.0,2.0,0.0,5.0,0.0,3.0,1.0,1.0,0.0,4.0,2.0
2020/9/11,0.0,0.0,0.0,0.0,1.0,14.0,8.0,0.0,0.0,0.0,5.0,2.0,0.0
2020/9/12,0.0,1.0,0.0,0.0,0.0,13.0,3.0,4.0,0.0,0.0,4.0,1.0,1.0
2020/9/13,3.0,0.0,0.0,1.0,0.0,6.0,0.0,0.0,1.0,1.0,3.0,0.0,1.0
2020/9/14,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,4.0,0.0,4.0
2020/9/15,0.0,1.0,0.0,2.0,2.0,5.0,4.0,0.0,0.0,0.0,3.0,6.0,0.0
2020/9/16,0.0,1.0,3.0,0.0,0.0,6.0,2.0,0.0,0.0,1.0,0.0,4.0,0.0
2020/9/17,0.0,7.0,0.0,3.0,3.0,6.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0
2020/9/18,0.0,1.0,5.0,0.0,0.0,12.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0
2020/9/19,0.0,0.0,0.0,0.0,0.0,15.0,2.0,0.0,0.0,1.0,5.0,6.0,0.0
2020/9/20,0.0,5.0,0.0,1.0,4.0,6.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
2020/9/21,0.0,0.0,1.0,0.0,0.0,3.0,0.0,5.0,0.0,0.0,1.0,1.0,1.0
2020/9/22,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,3.0,6.0,0.0
2020/9/23,0.0,1.0,0.0,1.0,0.0,6.0,8.0,3.0,0.0,0.0,0.0,0.0,0.0
2020/9/24,1.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,4.0,0.0,3.0
2020/9/25,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,1.0,0.0,4.0,3.0,1.0
2020/9/26,3.0,0.0,4.0,2.0,5.0,9.0,2.0,0.0,1.0,0.0,2.0,5.0,0.0
2020/9/27,1.0,1.0,2.0,5.0,1.0,5.0,1.0,0.0,1.0,2.0,1.0,3.0,0.0
2020/9/28,2.0,3.0,0.0,0.0,0.0,0.0,5.0,5.0,1.0,0.0,1.0,0.0,7.0
2020/9/29,1.0,0.0,0.0,5.0,0.0,2.0,3.0,0.0,0.0,2.0,2.0,1.0,2.0
2020/9/30,1.0,0.0,0.0,1.0,0.0,5.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0
2020/10/1,1.0,0.0,0.0,0.0,0.0,1.0,8.0,3.0,1.0,0.0,0.0,2.0,0.0
2020/10/2,0.0,1.0,0.0,1.0,0.0,11.0,4.0,0.0,1.0,0.0,0.0,4.0,0.0
2020/10/3,0.0,0.0,0.0,0.0,1.0,14.0,5.0,4.0,0.0,0.0,1.0,0.0,0.0
2020/10/4,3.0,2.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,5.0,5.0
2020/10/5,0.0,0.0,0.0,0.0,2.0,2.0,6.0,4.0,0.0,2.0,0.0,1.0,0.0
2020/10/6,0.0,0.0,5.0,2.0,0.0,7.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0
2020/10/7,0.0,0.0,0.0,2.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
2020/10/8,0.0,2.0,4.0,0.0,0.0,1.0,6.0,4.0,0.0,0.0,3.0,0.0,1.0
2020/10/9,1.0,1.0,0.0,0.0,0.0,15.0,0.0,1.0,0.0,0.0,4.0,2.0,0.0
2020/10/10,2.0,0.0,1.0,0.0,0.0,15.0,0.0,0.0,2.0,1.0,0.0,2.0,0.0
2020/10/11,0.0,2.0,0.0,0.0,5.0,6.0,4.0,0.0,0.0,0.0,4.0,22.0,2.0
2020/10/12,0.0,3.0,0.0,0.0,0.0,4.0,5.0,1.0,0.0,0.0,2.0,3.0,0.0
2020/10/13,1.0,2.0,1.0,1.0,4.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0
2020/10/14,0.0,3.0,0.0,0.0,1.0,2.0,5.0,2.0,1.0,0.0,2.0,5.0,0.0
2020/10/15,5.0,0.0,0.0,0.0,5.0,3.0,1.0,0.0,0.0,1.0,5.0,7.0,0.0
2020/10/16,2.0,1.0,1.0,0.0,0.0,14.0,1.0,0.0,0.0,0.0,3.0,0.0,5.0
2020/10/17,1.0,0.0,0.0,0.0,3.0,12.0,5.0,0.0,1.0,0.0,3.0,3.0,0.0
2020/10/18,0.0,0.0,0.0,4.0,0.0,2.0,0.0,1.0,1.0,2.0,4.0,0.0,0.0
2020/10/19,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2020/10/20,0.0,2.0,0.0,0.0,4.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
2020/10/21,2.0,1.0,0.0,1.0,0.0,4.0,0.0,4.0,0.0,0.0,3.0,5.0,0.0
2020/10/22,3.0,1.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,2.0,1.0,3.0,26.0
2020/10/23,0.0,1.0,5.0,1.0,0.0,13.0,4.0,0.0,0.0,1.0,3.0,0.0,0.0
2020/10/24,1.0,5.0,1.0,0.0,5.0,13.0,3.0,5.0,0.0,0.0,0.0,6.0,0.0
2020/10/25,0.0,3.0,0.0,0.0,1.0,5.0,0.0,1.0,0.0,0.0,1.0,2.0,7.0
2020/10/26,0.0,0.0,0.0,0.0,1.0,6.0,3.0,0.0,0.0,0.0,0.0,6.0,0.0
2020/10/27,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,0.0
2020/10/28,0.0,1.0,0.0,0.0,0.0,5.0,0.0,4.0,1.0,2.0,1.0,2.0,7.0
2020/10/29,2.0,2.0,1.0,5.0,2.0,0.0,7.0,0.0,0.0,0.0,1.0,1.0,0.0
2020/10/30,1.0,2.0,0.0,0.0,1.0,11.0,1.0,0.0,0.0,2.0,2.0,24.0,7.0
2020/10/31,0.0,0.0,1.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,1.0,7.0,6.0
